Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.082409	16.857309	0.164822	28.577065	0.82413	0							0.082409	-0.224004
0.082989	16.857134	0.165982	28.578455	0.829933	0							0.082989	-0.223682
0.083569	16.856926	0.167143	28.579578	0.835737	0							0.083569	-0.22336
0.08415	16.857306	0.168304	28.580429	0.841541	0							0.08415	-0.223038
0.08473	16.857824	0.169464	28.580999	0.847345	0							0.08473	-0.222716
0.08531	16.857588	0.170625	28.581373	0.853148	0							0.08531	-0.222394
0.085891	16.857698	0.171786	28.581898	0.858952	0							0.085891	-0.222073
0.086471	16.857433	0.172947	28.582928	0.864756	0							0.086471	-0.221751
0.087051	16.857845	0.174107	28.584705	0.87056	0							0.087051	-0.221429
0.087632	16.858061	0.175268	28.587132	0.876363	0							0.087632	-0.221183
0.088212	16.858601	0.176429	28.589523	0.882167	0							0.088212	-0.220937
0.088792	16.858997	0.177589	28.591354	0.887971	0							0.088792	-0.220691
0.089373	16.859167	0.17875	28.592625	0.893774	0							0.089373	-0.220445
0.089953	16.859449	0.179911	28.59343	0.899578	0							0.089953	-0.220199
0.090533	16.860338	0.181072	28.593857	0.905382	0							0.090533	-0.219954
0.091114	16.861052	0.182232	28.594095	0.911186	0							0.091114	-0.219708
0.091694	16.862415	0.183393	28.594231	0.916989	0							0.091694	-0.219462
0.092274	16.862991	0.184554	28.594328	0.922793	0							0.092274	-0.219216
0.092855	16.863337	0.185714	28.594494	0.928597	0							0.092855	-0.21897
0.093435	16.863146	0.186875	28.594694	0.934401	0							0.093435	-0.21872
0.094015	16.863586	0.188036	28.59487	0.940204	0							0.094015	-0.21847
0.094596	16.864111	0.189197	28.595039	0.946008	0							0.094596	-0.21822
0.095176	16.865496	0.190357	28.595194	0.951812	0							0.095176	-0.21797
0.095757	16.865711	0.191518	28.59531	0.957615	0							0.095757	-0.21772
0.096337	16.864752	0.192679	28.595388	0.963419	0							0.096337	-0.217469
0.096917	16.863541	0.193839	28.595388	0.969223	0							0.096917	-0.217219
0.097498	16.86347	0.195	28.595276	0.975027	0							0.097498	-0.216969
